"nama barang";"nama merek";"harga";"size";"gambar"
"Choc & Vanchoc 2in1";"Walls";15000;"400 ml";
"Candy Cake Nova";"Walls";2000;"60 ml";
"Choco Berry Popper";"Walls";2000;"60 ml";
"Chocolate Volt";"Walls";2000;"60 ml";
"Conello Classic Chocolate";"Walls";5000;"120 ml";
"Conello Hazelnut Mochacino";"Walls";6000;"135 ml";
"Conello Latte Caramello";"Walls";6000;"135 ml";
"Conello Royale";"Walls";6000;"135 ml";
"Conello Royale Chocoluv";"Walls";6000;"135 ml";
"Conetto Mini Chocolate";"Walls";1800;"30 ml";8
"Dimpi Paddle Pop Tirico";"Walls";1500;"70 ml";
"Feast Choco";"Walls";2700;"75 ml";
"Twistercola";"Walls";2700;"75 ml";13
"Magnum Almond";"Walls";9000;"90 ml";14
"Moo";"Walls";2700;"70 gram";15
"Paddle Pop Mini Milk";"Walls";1100;"35 ml";16
"Rainbow Spark";"Walls";2000;"60 ml";17
"Viennetta Brownie";"Walls";26500;"600 ml";18
