"nama barang";"nama merek";"harga";"size";"gambar"
"gula batu";"A pasti";5400;"250 gram";"gulabatu"
"gula merah";"A gula merah";5900;"400 gram";"gulamerah"
"bumbu all variant";"finna";3700;"50 gram";""
"penyedap rasa sapi";"masako";5800;"250 gram";""
"kecap manis";"nasional";9800;"625 ml";""
"kecap manis";"lotte mart";5950;"275 ml";""
"pecin";"ajinomoto";2500;"100 gram";"ajinomoto"
"saus siram";"saori";6000;"140 ml";"saustiram"
"bumbu serbaguna";"sasa";1200;"4'sx8g";""
"sambal extra hot";"sasa";3900;"24'sx10g";""
"pecin";"biomiwon";5500;"200 gram";"biomiwon"
"saus";"delmonte tomato";8000;"340 ml";"saustomat"
"saus";"delmonte extra hot";8200;"340 ml";"sausextrahot"
