"nama barang";"nama merek";"harga";"size"
"Air Mineral";"KAKI 3 LARUTAN PENYEGAR";4200;"320ML"
"Air Mineral";"AQUA CUP";400;"240ML"
"Sirup";"MIZONE";3100;"500ML"
"Sari Buah";"BUAVITA JUS SLIM";3900;"250ML "
"Sari Buah";"NU JUICE ORANGE";3900;"330ML"
"Minuman Teh";"NU GREEN TEA";3900;"500ML "
"Sari Buah";"FRUTANG BULIR";18000;
"Minuman Teh";"C2 GREEN TEA";2000;"360ML "
"Sari Buah";"LOVE JUICE RAMA";4000;"250ML "
"Sirup";"Indofood Sirup Frambozen";11000;"650ml"
"Sirup";"ABC Syrup Squash Orange";11000;" 625ml"
"Sirup";"ABC Syrup Cream Rasa Jeruk ";10500;"635ml"
"Sirup";"Kara Nata De Coco ";10500;"1000gr"
"Susu";"INDOMILK LIQUID BTL ";2200;"195 ML"
"Susu";"ULTRA MILK SLIM";3300;"250 ML "
"Air Mineral";"Aqua";10000;"galon"
"Minuman Ringan ";"Coca-Cola Botol ";8500;"1 ltr"
"Air Mineral";"Hexagonal Air Mineral  ";8500;"1500ml"
"Minuman Ringan ";"Sprite ";8000;"1ltr"
"Minuman Ringan ";"Fanta Strawberri ";8000;"1ltr"
"Susu";"Bear Brand Susu Steril ";6500;"189ml"
"Susu";"Milo Susu Kemasan kaleng";6000;" 240ml "
"Sari Buah";"YOU C 1000 Lemon";6000;" 500ml"
"Minuman Teh";"Teh Botol Sosro ";6000;"1 liter"
"Minuman Ringan ";"Coca-Cola Kaleng";5800;" 330ml"
"Minuman Ringan ";"Fanta Kemasan Kaleng ";5800;"330ml"
"Minuman Kopi";"Nescafe Kopi Instan";5800;" 240 ml"
"Sari Buah";"Pulpy Orange";5700;" 350 ml"
"Minuman Ringan ";"Coca-Cola ";5600;"500ml"
"Minuman Energi";"Pocari SweatKemasan Botol";5500;" 500ml"
"Minuman Probiotik";"Vita Charm";5500;"5s"
"Minuman Ringan ";"Sprite ";5000;"330ml"
"Air Mineral";"Hexagonal Kemasan Botol ";4500;"400ml"
"Sari Buah";"You C1000 ";4500;"140ml"
"Minuman Energi";"Pocari Sweat";4500;"330ml"
"Minuman Energi";"Pocari SweatKemasan Botol";4500;" 350ml"
"Minuman Ringan ";"Green Sands";4200;"330ml"
"Minuman Energi";"Kratingdaeng";4000;"botol"
"Minuman Ringan ";"Fanta ";4000;"250ml"
"Minuman Ringan ";"Sprite ";4000;"250ml"
"Air Mineral";"Lasegar Kaleng ";4000;"320ml "
"Susu";"Anlene Calcium ";4000;"200 ml"
"Minuman Ringan ";"Coca cola";4000;"250ml"
"Minuman Energi";"Fatigon Hydro";4000;"250ml"
"Susu";"Milo Susu Cair";3800;" 200ml"
"Susu";"Ultra Milk Cokelat Stroberi";3800;" 250ml"
"cccc";"Frestea";3700;"500ml"
"Sari Buah";"Buavita Kemasan Kotak ";3800;"250ml"
"Minuman Teh";"Fruit Tea Kemasan Botol ";3700;"500ml"
"Sari Buah";"ABC Juice kemasan kotak";3500;"250 ml "
"Sari Buah";"Buavita Kemasan Kotak ";18500;"1000ml"
"Sirup";"Marjan Sirup Kemasan Botol ";16500;"630ml"
"Sari Buah";"Country Choice ";13500;"1ltr"
"Sirup";"ABC Syrup Special Grade";13200;"625ml"
"Air Mineral";"Cleo Oxygen ";13000;"6ltr"
"Minuman Ringan ";"Sprite ";12000;"1,5 ltr"
"Minuman Ringan ";"Fanta";12000;"1,5 ltr"
"Minuman Ringan ";"coca cola";12000;"1,5 ltr"
"Minuman Energi";"Vita Zone  ";3500;"500ml"
"Minuman Ringan ";"F & N Soda Water ";3500;"330ml"
"Susu";"Dutch Mill Strawberry Juice";3300;"180ml"
"Minuman Energi";"Kiranti  ";3300;"150ml"
"Sari Buah";"Sari Asem Asli Minuman Kotak ";3300;"250ml"
"Susu";"Andec Boneeto  200ml";3300;"200ml"
"Susu";"Boneeto  ";3300;"200ml"
"Sari Buah";"Nutrisari Jeruk ";3200;"200ml"
"Sari Buah";"ABC Minuman kemasan kotak";3200;"250ml"
"Yoghurt";"Yoghurt Freshtime ";3100;"180 ml"
"Minuman Energi";"Extra Joss Strike ";3000;"170ml"
"Susu";"Frisian Flag  Botol";2900;"190ml"
"Susu";"Ultra Milk  ";2800;"200ml"
"Sari Buah";"Sari Kacang Ijo ";2800;"250ml"
"Minuman Energi";"Hemaviton Energy Drink";2800;
"Minuman Energi";"EnaO Kaleng Minuman Energi ";2800;"238ml"
"Air Mineral";"Air Minum Amidis ";2800;"1500ml"
"Minuman Kopi";"Capucini kemasan kotak ";2700;"200ml"
"Susu";"ABC Milk Shake";2700;"185 ml "
"Susu";"Frisian Flag ";2600;"190ml"
"Sari Buah";"Kara Sari Kelapa ";2500;"220ml"
"Minuman Teh";"Sosro Teh Botol";2500;
"Sari Buah";"Mr. Jussie ";2100;"200ml"
"Minuman Teh";"Teh Kotak ";2100;"200ml"
"Susu";"Yes Susu Sereal  ";2000;"180ml"
"Susu";"Enaak Susu Kental Manis ";2000;"180ml"
"Sari Buah";"Buavita Mini  ";2000;"125ml"
"Minuman Penyegar";"Lasegar ";2000;"200ml "
"Sari Buah";"Sari Jahe Tea ";2000;
"Sari Buah";"Sari Kelapa Coco Nono ";2000;"220gr"
"Susu";"Real Good  Susu Bantal ";1800;"180ml"
