"nama barang";"nama merek";"harga";"size"
"Choc & Vanchoc 2in1";"Walls";15000;"400 ml"
"Candy Cake Nova";"Walls";2000;"60 ml"
"Choco Berry Popper";"Walls";2000;"60 ml"
"Chocolate Volt";"Walls";2000;"60 ml"
"Conello Classic Chocolate";"Walls";5000;"120 ml"
"Conello Hazelnut Mochacino";"Walls";6000;"135 ml"
"Conello Latte Caramello";"Walls";6000;"135 ml"
"Conello Royale";"Walls";6000;"135 ml"
"Conello Royale Chocoluv";"Walls";6000;"135 ml"
"Conetto Mini Chocolate";"Walls";1800;"30 ml"
"Dimpi Paddle Pop Tirico";"Walls";1500;"70 ml"
"Feast Choco";"Walls";2700;"75 ml"
"Twistercola";"Walls";2700;"75 ml"
"Magnum Almond";"Walls";9000;"90 ml"
"Moo";"Walls";2700;"70 gram"
"Paddle Pop Mini Milk";"Walls";1100;"35 ml"
"Rainbow Spark";"Walls";2000;"60 ml"
"Viennetta Brownie";"Walls";26500;"600 ml"
